Timestamp,Price,Size,Exchange,Type
2021-03-05 09:34:01.571,505.79,93,CBOE,Bid
2021-03-05 09:35:02.488,456.52,39,NSX,Ask
2021-03-05 09:44:03.276,387.11,46,NASDAQ,Bid
2021-03-05 09:52:03.338,460.89,41,NYSE,Ask
2021-03-05 09:58:03.779,425.02,31,NYSE,Ask
2021-03-05 09:59:04.482,346.38,11,NYSE,Bid
2021-03-05 10:03:05.340,415.63,62,NASDAQ,Bid
2021-03-05 10:03:05.883,456.52,18,NYSE_ARCA,Ask
2021-03-05 10:08:06.518,438.93,51,NYSE,Ask
2021-03-05 10:09:07.182,469.77,9,NASDAQ,Bid
2021-03-05 10:16:08.086,421.0,55,CBOE,Ask
2021-03-05 10:16:08.095,382.91,57,CBOE,Bid
2021-03-05 10:16:08.854,335.83,48,NSX,Bid
2021-03-05 10:17:09.258,326.26,68,NASDAQ,Ask
2021-03-05 10:19:09.587,321.96,49,NYSE,Ask
2021-03-05 10:20:10.018,354.94,3,NYSE_ARCA,Bid
2021-03-05 10:29:10.986,313.51,48,NASDAQ,Ask
2021-03-05 10:29:11.566,334.32,83,NSX,Ask
2021-03-05 10:31:12.411,329.68,9,NYSE_ARCA,Ask
2021-03-05 10:37:13.188,353.35,80,NSX,Ask
2021-03-05 10:41:13.642,343.2,36,CBOE,Bid
2021-03-05 10:46:13.803,393.3,11,NASDAQ,Bid
2021-03-05 10:55:14.254,348.9,61,CBOE,Bid
2021-03-05 10:59:15.088,328.46,78,NYSE,Bid
2021-03-05 11:06:15.752,317.35,85,CBOE,Ask
2021-03-05 11:12:16.044,269.11,55,NYSE_ARCA,Bid
2021-03-05 11:21:16.095,288.62,76,NYSE_ARCA,Ask
2021-03-05 11:22:16.270,239.39,94,NYSE_ARCA,Bid
2021-03-05 11:31:16.696,253.1,33,NSX,Bid
2021-03-05 11:36:17.567,248.01,71,NYSE_ARCA,Bid
2021-03-05 11:43:18.536,251.95,78,CBOE,Bid
2021-03-05 11:49:19.348,270.2,100,NYSE,Ask
2021-03-05 11:57:20.286,223.07,100,NSX,Bid
2021-03-05 11:57:20.731,222.54,58,NYSE,Ask
2021-03-05 12:01:21.058,244.97,38,NYSE,Ask
2021-03-05 12:08:21.292,228.56,53,NASDAQ,Ask
2021-03-05 12:14:21.463,244.32,100,NYSE,Ask
2021-03-05 12:20:22.194,279.53,79,NYSE_ARCA,Bid
2021-03-05 12:21:22.858,289.28,9,NYSE,Ask
2021-03-05 12:24:23.165,339.09,70,NYSE_ARCA,Ask
2021-03-05 12:24:23.297,345.02,59,NASDAQ,Bid
2021-03-05 12:25:23.890,409.15,64,NYSE_ARCA,Ask
2021-03-05 12:29:24.627,335.36,83,NASDAQ,Bid
2021-03-05 12:35:24.675,271.62,63,NYSE_ARCA,Ask
2021-03-05 12:40:24.793,309.9,98,NYSE_ARCA,Ask
2021-03-05 12:47:24.827,297.97,55,NYSE_ARCA,Ask
2021-03-05 12:47:24.920,251.14,97,NASDAQ,Bid
2021-03-05 12:52:25.182,246.06,74,NYSE_ARCA,Bid
2021-03-05 12:53:25.449,266.21,33,NYSE_ARCA,Ask
2021-03-05 12:57:26.202,262.25,32,NYSE,Ask
2021-03-05 13:06:26.973,240.72,6,NYSE_ARCA,Ask
2021-03-05 13:14:27.327,262.54,19,NSX,Ask
2021-03-05 13:21:28.048,280.4,28,NSX,Ask
2021-03-05 13:23:28.944,320.66,86,NASDAQ,Bid
