Timestamp,Price,Size,Exchange,Type
2021-03-05 09:33:01.264,831.21,82,NYSE_ARCA,Ask
2021-03-05 09:39:02.231,821.2,67,NSX,Bid
2021-03-05 09:44:02.543,896.61,93,NASDAQ,Ask
2021-03-05 09:47:03.250,869.73,86,NYSE_ARCA,Bid
2021-03-05 09:51:04.247,882.35,93,NSX,Bid
2021-03-05 09:52:04.363,916.41,7,CBOE,Ask
2021-03-05 09:57:05.122,734.0,5,NASDAQ,Bid
2021-03-05 10:02:05.971,812.04,32,CBOE,Bid
2021-03-05 10:07:06.613,700.39,36,CBOE,Ask
2021-03-05 10:09:06.874,562.8,15,CBOE,Ask
2021-03-05 10:09:07.512,652.64,4,NYSE_ARCA,Ask
2021-03-05 10:10:08.337,538.81,30,CBOE,Ask
2021-03-05 10:18:08.662,508.51,15,NASDAQ,Ask
2021-03-05 10:18:09.050,599.26,58,NASDAQ,Bid
2021-03-05 10:20:09.212,676.51,22,CBOE,Ask
2021-03-05 10:22:09.959,744.3,37,NASDAQ,Ask
2021-03-05 10:28:10.898,758.13,44,NYSE,Bid
2021-03-05 10:31:11.196,629.55,10,CBOE,Ask
2021-03-05 10:38:11.993,737.62,39,CBOE,Bid
2021-03-05 10:42:12.608,672.34,74,NASDAQ,Ask
2021-03-05 10:50:13.401,737.09,16,NYSE_ARCA,Ask
2021-03-05 10:59:13.554,656.64,96,NSX,Ask
2021-03-05 11:08:13.943,715.84,75,NSX,Bid
2021-03-05 11:10:14.113,672.28,81,NASDAQ,Ask
2021-03-05 11:15:15.023,766.16,37,CBOE,Ask
2021-03-05 11:15:15.808,845.75,74,CBOE,Ask
2021-03-05 11:20:16.695,921.01,95,NASDAQ,Ask
2021-03-05 11:28:17.569,1051.04,90,NYSE_ARCA,Bid
2021-03-05 11:33:18.111,1150.15,36,CBOE,Ask
2021-03-05 11:41:18.243,1355.83,56,NSX,Bid
2021-03-05 11:50:18.786,1624.12,94,NYSE_ARCA,Bid
2021-03-05 11:52:18.978,1836.19,28,CBOE,Ask
2021-03-05 11:58:19.321,1848.12,86,NYSE,Ask
2021-03-05 11:58:19.608,1644.13,6,NSX,Bid
2021-03-05 12:03:19.821,1395.04,10,NYSE,Bid
2021-03-05 12:03:19.906,1121.72,88,NYSE_ARCA,Ask
2021-03-05 12:12:19.970,946.04,80,CBOE,Ask
2021-03-05 12:13:20.200,779.44,69,NSX,Ask
2021-03-05 12:14:21.112,922.35,41,NYSE,Ask
2021-03-05 12:16:21.959,823.92,69,NASDAQ,Bid
2021-03-05 12:18:22.668,970.28,83,NYSE_ARCA,Bid
2021-03-05 12:20:22.831,901.11,23,NYSE_ARCA,Bid
2021-03-05 12:26:23.377,740.96,8,NASDAQ,Bid
2021-03-05 12:29:24.263,610.81,2,CBOE,Ask
2021-03-05 12:29:24.417,632.75,50,CBOE,Ask
2021-03-05 12:34:25.174,715.76,38,NYSE_ARCA,Ask
2021-03-05 12:39:25.287,609.93,57,NYSE,Bid
2021-03-05 12:46:26.020,543.09,54,NASDAQ,Bid
2021-03-05 12:52:26.992,464.28,83,NASDAQ,Bid
2021-03-05 13:00:27.308,372.14,54,NYSE_ARCA,Bid
2021-03-05 13:07:27.968,361.72,55,NYSE,Ask
2021-03-05 13:15:28.506,391.67,61,CBOE,Ask
2021-03-05 13:17:29.041,423.27,49,NASDAQ,Ask
2021-03-05 13:22:29.228,378.17,79,NYSE_ARCA,Bid
2021-03-05 13:30:29.879,426.2,16,NASDAQ,Ask
2021-03-05 13:38:30.111,369.96,12,NYSE,Ask
2021-03-05 13:46:30.398,357.26,49,NYSE,Bid
2021-03-05 13:55:30.973,407.54,20,NYSE_ARCA,Ask
2021-03-05 13:56:31.813,486.49,4,NSX,Ask
2021-03-05 13:58:32.041,497.99,34,CBOE,Bid
2021-03-05 14:07:32.340,547.11,79,NASDAQ,Ask
2021-03-05 14:07:32.348,588.73,23,NYSE_ARCA,Ask
2021-03-05 14:12:32.586,592.19,38,CBOE,Ask
2021-03-05 14:18:33.526,514.02,58,NSX,Ask
2021-03-05 14:24:33.801,557.19,84,NYSE,Bid
2021-03-05 14:32:33.923,645.85,9,NYSE_ARCA,Bid
2021-03-05 14:38:34.606,717.25,2,CBOE,Bid
2021-03-05 14:40:35.241,852.44,81,NYSE_ARCA,Bid
2021-03-05 14:47:36.130,1011.49,29,CBOE,Bid
2021-03-05 14:51:36.990,1052.21,22,NYSE_ARCA,Bid
2021-03-05 14:53:37.607,853.89,18,NASDAQ,Ask
2021-03-05 14:58:37.728,780.6,25,NYSE,Ask
2021-03-05 15:04:38.648,844.39,44,CBOE,Bid
2021-03-05 15:05:39.454,720.86,7,NYSE,Ask
2021-03-05 15:09:40.115,861.34,97,NASDAQ,Bid
2021-03-05 15:13:40.222,896.45,76,NYSE_ARCA,Bid
2021-03-05 15:21:41.079,973.06,10,NSX,Ask
2021-03-05 15:23:41.152,939.42,45,CBOE,Ask
2021-03-05 15:24:41.180,817.86,29,NSX,Bid
2021-03-05 15:31:41.567,865.8,8,NYSE,Bid
2021-03-05 15:34:42.442,967.96,20,NSX,Bid
2021-03-05 15:40:42.977,879.54,51,NASDAQ,Bid
2021-03-05 15:49:43.242,966.61,99,NYSE,Ask
2021-03-05 15:58:44.220,833.28,69,NYSE_ARCA,Ask
2021-03-05 16:00:44.532,687.38,32,NASDAQ,Bid
2021-03-05 16:04:45.243,618.51,35,NASDAQ,Ask
2021-03-05 16:08:45.857,612.07,53,NSX,Bid
2021-03-05 16:10:46.646,710.43,44,NASDAQ,Ask
2021-03-05 16:15:47.157,748.03,54,NYSE,Bid
2021-03-05 16:23:47.894,845.81,95,CBOE,Ask
2021-03-05 16:31:48.313,929.32,67,NASDAQ,Bid
2021-03-05 16:38:49.193,943.13,25,NYSE,Bid
2021-03-05 16:41:50.100,891.71,62,CBOE,Bid
2021-03-05 16:42:50.529,1056.89,82,NASDAQ,Bid
2021-03-05 16:50:50.941,1267.05,70,CBOE,Ask
2021-03-05 16:57:51.457,1382.94,40,NSX,Bid
2021-03-05 17:05:51.862,1282.5,26,NSX,Bid
2021-03-05 17:10:52.248,1068.74,57,NASDAQ,Ask
2021-03-05 17:15:52.837,1112.75,71,NYSE_ARCA,Ask
2021-03-05 17:16:53.581,1094.33,27,NYSE_ARCA,Bid
